Set1_name,Set2_flag,Set3_terrain,answers,example_countries
Name has fewer than 8 letters,Flag has 4 or more colours,Crossed by a tropic line,6,Libya; Namibia; Zambia; India; Myanmar
Name has fewer than 8 letters,Flag has 4 or more colours,Mainly arid climate,8,Eritrea; Libya; Namibia; Sudan; Iraq
Name has fewer than 8 letters,Flag has 4 or more colours,Has a major desert,9,Eritrea; Libya; Namibia; Sudan; India
Name has fewer than 8 letters,Flag has 4 or more colours,"Has a peak above 4,000 m",3,Kenya; India; Myanmar
Name has fewer than 8 letters,Flag has 4 or more colours,Mainly tropical climate,13,Comoros; Gambia; Ghana; Kenya; Togo
Name has fewer than 8 letters,Flag has 4 or more colours,Has active volcanoes,3,Comoros; Eritrea; Vanuatu
Name has fewer than 8 letters,Flag has green,Crossed by a tropic line,10,Algeria; Libya; Mali; Namibia; Niger
Name has fewer than 8 letters,Flag has green,Mainly arid climate,15,Algeria; Eritrea; Libya; Mali; Namibia
Name has fewer than 8 letters,Flag has green,Has a major desert,16,Algeria; Eritrea; Libya; Mali; Morocco
Name has fewer than 8 letters,Flag has green,"Has a peak above 4,000 m",9,Kenya; Morocco; Rwanda; India; Iran
Name has fewer than 8 letters,Flag has green,Mainly tropical climate,20,Benin; Burundi; Comoros; Congo; Gabon
Name has fewer than 8 letters,Flag has green,Has active volcanoes,7,Comoros; Eritrea; Rwanda; Iran; Italy
Name has fewer than 8 letters,Flag has yellow,Crossed by a tropic line,7,Chad; Mali; Namibia; China; Myanmar
Name has fewer than 8 letters,Flag has yellow,Mainly arid climate,5,Chad; Eritrea; Mali; Namibia; Senegal
Name has fewer than 8 letters,Flag has yellow,Has a major desert,6,Angola; Chad; Eritrea; Mali; Namibia
Name has fewer than 8 letters,Flag has yellow,"Has a peak above 4,000 m",7,Rwanda; Uganda; Bhutan; China; Myanmar
Name has fewer than 8 letters,Flag has yellow,Mainly tropical climate,22,Angola; Benin; Comoros; Congo; Gabon
Name has fewer than 8 letters,Flag has yellow,Has active volcanoes,6,Comoros; Eritrea; Rwanda; Spain; Ecuador
Name has fewer than 8 letters,Flag has a star,Crossed by a tropic line,7,Algeria; Libya; China; Myanmar; Brazil
Name has fewer than 8 letters,Flag has a star,Mainly arid climate,6,Algeria; Libya; Senegal; Somalia; Jordan
Name has fewer than 8 letters,Flag has a star,Has a major desert,10,Algeria; Angola; Libya; Morocco; Tunisia
Name has fewer than 8 letters,Flag has a star,"Has a peak above 4,000 m",5,Morocco; China; Myanmar; Turkey; Chile
Name has fewer than 8 letters,Flag has a star,Mainly tropical climate,15,Angola; Burundi; Comoros; Ghana; Liberia
Name has fewer than 8 letters,Flag has a star,Has active volcanoes,3,Comoros; Turkey; Chile
Name has fewer than 8 letters,Flag has a coat of arms / emblem,Crossed by a tropic line,1,Mexico
Name has fewer than 8 letters,Flag has a coat of arms / emblem,Mainly arid climate,3,Iran; Oman; Mexico
Name has fewer than 8 letters,Flag has a coat of arms / emblem,Has a major desert,4,Iran; Oman; Mexico; Peru
Name has fewer than 8 letters,Flag has a coat of arms / emblem,"Has a peak above 4,000 m",6,Kenya; Iran; Bolivia; Ecuador; Mexico
Name has fewer than 8 letters,Flag has a coat of arms / emblem,Mainly tropical climate,6,Kenya; Brunei; Belize; Ecuador; Haiti
Name has fewer than 8 letters,Flag has a coat of arms / emblem,Has active volcanoes,5,Iran; Spain; Ecuador; Mexico; Peru
Name has fewer than 8 letters,Flag has no symbol (colours only),Crossed by a tropic line,3,Chad; Mali; Bahamas
Name has fewer than 8 letters,Flag has no symbol (colours only),Mainly arid climate,8,Chad; Mali; Sudan; Bahrain; Iraq
Name has fewer than 8 letters,Flag has no symbol (colours only),Has a major desert,7,Chad; Mali; Sudan; Iraq; Kuwait
Name has fewer than 8 letters,Flag has no symbol (colours only),"Has a peak above 4,000 m",4,Armenia; France; Italy; Russia
Name has fewer than 8 letters,Flag has no symbol (colours only),Mainly tropical climate,9,Benin; Congo; Gabon; Gambia; Guinea
Name has fewer than 8 letters,Flag has no symbol (colours only),Has active volcanoes,4,Yemen; France; Italy; Russia
Name has more than 8 letters,Flag has 4 or more colours,Crossed by a tropic line,4,Mauritius; Mozambique; South Africa; United Arab Emirates
Name has more than 8 letters,Flag has 4 or more colours,Mainly arid climate,4,Cabo Verde; Afghanistan; United Arab Emirates; Uzbekistan
Name has more than 8 letters,Flag has 4 or more colours,Has a major desert,4,South Africa; Afghanistan; United Arab Emirates; Uzbekistan
Name has more than 8 letters,Flag has 4 or more colours,"Has a peak above 4,000 m",3,Afghanistan; Tajikistan; Uzbekistan
Name has more than 8 letters,Flag has 4 or more colours,Mainly tropical climate,14,Central African Republic; Equatorial Guinea; Guinea-Bissau; Mauritius; Mozambique
Name has more than 8 letters,Flag has 4 or more colours,Has active volcanoes,4,Cabo Verde; Equatorial Guinea; Philippines; Solomon Islands
